ibex_close,tasa_desempleo,prima,pib_trim_per_capita
3313.89990234375,22.1,356.0,2.7
3364.199951171875,22.1,363.0,2.7
3427.89990234375,22.1,359.0,2.7
3445.89990234375,22.0,352.0,2.7
3434.39990234375,22.0,329.0,2.7
3433.0,22.0,336.0,2.7
3454.300048828125,22.0,335.0,2.7
3469.199951171875,22.0,338.0,2.7
3438.39990234375,22.0,333.0,2.7
3440.199951171875,22.0,335.0,2.7
3408.199951171875,22.0,340.0,2.7
3342.89990234375,22.0,326.0,2.7
3342.89990234375,22.0,374.0,2.7
3320.10009765625,22.0,372.0,2.7
3301.300048828125,22.0,382.0,2.7
3273.10009765625,22.0,384.0,2.7
3260.39990234375,22.0,400.0,2.7
3228.89990234375,22.0,380.0,2.7
3246.800048828125,22.0,375.0,2.7
3267.89990234375,22.0,378.0,2.7
3290.199951171875,22.0,377.0,2.7
3322.89990234375,22.0,367.0,2.7
3366.699951171875,22.0,383.0,2.7
3352.199951171875,22.0,374.0,2.7
3337.0,22.0,371.0,2.7
3276.800048828125,22.0,374.0,2.7
3239.699951171875,22.0,372.0,2.7
3189.5,22.0,368.0,2.7
3135.199951171875,22.0,377.0,2.7
3176.5,22.0,378.0,2.7
3262.5,22.0,384.0,2.7
3232.699951171875,22.0,391.0,2.7
3184.699951171875,22.0,391.0,2.7
3227.10009765625,22.0,380.0,2.7
3208.5,22.0,394.0,2.7
3259.10009765625,22.0,384.0,2.7
3218.60009765625,22.0,391.0,2.7
3210.10009765625,22.0,356.0,2.7
3166.10009765625,22.0,363.0,2.7
3142.699951171875,22.0,366.0,2.7
3140.89990234375,22.0,358.0,2.7
3193.699951171875,22.0,371.0,2.7
3175.60009765625,22.0,360.0,2.7
3175.699951171875,22.0,354.0,2.7
3234.89990234375,22.0,356.0,2.7
3192.199951171875,22.0,356.0,2.7
3176.60009765625,22.0,351.0,2.7
3149.10009765625,22.0,354.0,2.7
3165.199951171875,21.8,354.0,2.8
3100.0,21.8,353.0,2.8
3105.300048828125,21.8,354.0,2.8
3122.89990234375,21.8,354.0,2.8
3159.300048828125,21.8,362.0,2.8
3173.39990234375,21.8,351.0,2.8
3278.0,21.8,393.0,2.8
3247.0,21.8,353.0,2.8
3242.800048828125,21.8,351.0,2.8
3189.39990234375,21.8,355.0,2.8
3188.199951171875,21.8,364.0,2.8
3184.199951171875,21.8,353.0,2.8
3149.199951171875,21.8,367.0,2.8
3155.0,21.8,373.0,2.8
3108.0,21.8,363.0,2.8
3101.39990234375,21.8,357.0,2.8
3131.10009765625,21.8,352.0,2.8
3186.60009765625,21.8,359.0,2.8
3194.5,21.8,359.0,2.8
3155.699951171875,21.8,349.0,2.8
3185.5,21.8,362.0,2.8
3202.89990234375,21.8,362.0,2.8
3172.699951171875,21.8,372.0,2.8
3166.10009765625,21.8,369.0,2.8
3232.300048828125,21.8,374.0,2.8
3229.300048828125,21.8,378.0,2.8
3259.5,21.8,372.0,2.8
3306.199951171875,21.8,372.0,2.8
3278.199951171875,21.8,378.0,2.8
3272.5,21.8,378.0,2.8
3286.699951171875,21.8,366.0,2.8
3308.800048828125,21.8,369.0,2.8
3286.300048828125,21.8,366.0,2.8
3253.5,21.8,371.0,2.8
3276.0,21.8,371.0,2.8
3296.199951171875,21.8,375.0,2.8
3298.39990234375,21.8,380.0,2.8
3262.5,21.8,376.0,2.8
3287.10009765625,21.8,374.0,2.8
3272.699951171875,21.8,381.0,2.8
3290.60009765625,21.6,380.0,2.8
3323.300048828125,21.6,385.0,2.8
3318.89990234375,21.6,383.0,2.8
3293.89990234375,21.6,383.0,2.8
3271.89990234375,21.6,386.0,2.8
3266.699951171875,21.6,386.0,2.8
3261.800048828125,21.6,389.0,2.8
3238.10009765625,21.6,387.0,2.8
3250.5,21.6,390.0,2.8
3230.300048828125,21.6,388.0,2.8
3193.5,21.6,384.0,2.8
3173.5,21.6,395.0,2.8
3168.699951171875,21.6,404.0,2.8
3189.300048828125,21.6,410.0,2.8
3088.10009765625,21.6,405.0,2.8
3029.5,21.6,423.0,2.8
3036.10009765625,21.6,421.0,2.8
3087.699951171875,21.6,421.0,2.8
3092.199951171875,21.6,421.0,2.8
3110.39990234375,21.4,419.0,2.8
3107.199951171875,21.4,411.0,2.8
3047.0,21.4,412.0,2.8
3003.60009765625,21.4,407.0,2.8
2987.800048828125,21.4,424.0,2.8
2957.699951171875,21.4,461.0,2.8
2963.10009765625,21.4,437.0,2.8
3004.699951171875,21.4,437.0,2.8
3041.699951171875,21.4,448.0,2.8
3036.39990234375,21.4,442.0,2.8
3041.199951171875,21.4,432.0,2.8
3053.10009765625,21.4,457.0,2.8
3023.300048828125,21.4,443.0,2.8
2962.89990234375,21.4,449.0,2.8
2987.89990234375,21.4,438.0,2.8
3008.10009765625,21.4,452.0,2.8
3043.300048828125,21.4,440.0,2.8
3048.699951171875,21.4,433.0,2.8
3038.199951171875,21.4,437.0,2.8
3040.10009765625,21.4,430.0,2.8
3072.0,21.4,430.0,2.8
