ibex_close,tasa_desempleo,prima,pib_trim_per_capita,deuda_perc_pib
3260.10009765625,20.6,487.0,2.9,61.58
3261.5,20.6,489.0,2.9,61.58
3260.0,20.6,498.0,2.9,61.58
3234.300048828125,20.6,492.0,2.9,61.58
3223.5,20.6,481.0,2.9,61.58
3219.10009765625,20.6,485.0,2.9,61.58
3219.60009765625,20.7,483.0,2.9,61.99
3240.39990234375,20.7,479.0,2.9,61.99
3245.60009765625,20.7,480.0,2.9,61.99
3232.5,20.7,486.0,2.9,61.99
3317.0,20.7,474.0,2.9,61.99
3343.39990234375,20.7,467.0,2.9,61.99
3376.300048828125,20.7,456.0,2.9,61.99
3368.0,20.7,451.0,2.9,61.99
3344.89990234375,20.7,445.0,2.9,61.99
3330.10009765625,20.7,445.0,2.9,61.99
3355.699951171875,20.7,451.0,2.9,61.99
3321.300048828125,20.7,457.0,2.9,61.99
3312.800048828125,20.7,451.0,2.9,61.99
3279.699951171875,20.7,453.0,2.9,61.99
3288.89990234375,20.7,436.0,2.9,61.99
3331.0,20.7,433.0,2.9,61.99
3349.39990234375,20.7,442.0,2.9,61.99
3363.300048828125,20.7,436.0,2.9,61.99
3378.0,20.7,437.0,2.9,61.99
3359.199951171875,20.7,446.0,2.9,61.99
3373.39990234375,20.7,446.0,2.9,61.99
3389.699951171875,20.8,439.0,2.9,62.59
3461.39990234375,20.8,440.0,2.9,62.59
3453.699951171875,20.8,436.0,2.9,62.59
3474.300048828125,20.8,436.0,2.9,62.59
3482.89990234375,20.8,429.0,2.9,62.59
3471.0,20.8,431.0,2.9,62.59
3459.199951171875,20.8,431.0,2.9,62.59
3481.300048828125,20.8,426.0,2.9,62.59
3510.89990234375,20.8,419.0,2.9,62.59
3497.800048828125,20.8,416.0,2.9,62.59
3526.89990234375,20.8,413.0,2.9,62.59
3511.199951171875,20.8,413.0,2.9,62.59
3513.699951171875,20.8,424.0,2.9,62.59
3514.39990234375,20.8,425.0,2.9,62.59
3494.0,20.8,421.0,2.9,62.59
3492.89990234375,20.8,425.0,2.9,62.59
3513.800048828125,20.8,424.0,2.9,62.59
3516.800048828125,20.8,427.0,2.9,62.59
3494.300048828125,20.8,432.0,2.9,62.59
3474.39990234375,20.8,433.0,2.9,62.59
3472.39990234375,20.8,432.0,2.9,62.59
3432.800048828125,20.8,435.0,2.9,62.59
3454.0,20.9,446.0,2.9,62.05
3456.0,20.9,442.0,2.9,62.05
3455.5,20.9,437.0,2.9,62.05
3480.0,20.9,434.0,2.9,62.05
3472.39990234375,20.9,429.0,2.9,62.05
3489.800048828125,20.9,420.0,2.9,62.05
3513.5,20.9,415.0,2.9,62.05
3526.39990234375,20.9,407.0,2.9,62.05
3541.699951171875,20.9,407.0,2.9,62.05
3537.89990234375,20.9,404.0,2.9,62.05
3521.39990234375,20.9,403.0,2.9,62.05
3496.300048828125,20.9,415.0,2.9,62.05
3513.800048828125,20.9,419.0,2.9,62.05
3507.10009765625,20.9,421.0,2.9,62.05
3496.300048828125,20.9,431.0,2.9,62.05
3423.39990234375,20.9,438.0,2.9,62.05
3382.800048828125,20.9,447.0,2.9,62.05
3401.800048828125,20.9,434.0,2.9,62.05
3361.10009765625,20.9,428.0,2.9,62.05
3343.39990234375,20.9,437.0,2.9,62.05
3376.800048828125,20.9,433.0,2.9,62.05
3361.39990234375,20.7,428.0,3.0,61.4
3338.300048828125,20.7,428.0,3.0,61.4
3340.60009765625,20.7,430.0,3.0,61.4
3319.800048828125,20.7,429.0,3.0,61.4
3275.699951171875,20.7,437.0,3.0,61.4
3227.89990234375,20.7,440.0,3.0,61.4
3244.800048828125,20.7,441.0,3.0,61.4
3271.60009765625,20.7,437.0,3.0,61.4
3334.89990234375,20.7,430.0,3.0,61.4
3318.300048828125,20.7,433.0,3.0,61.4
3306.5,20.7,428.0,3.0,61.4
3328.0,20.7,429.0,3.0,61.4
3313.10009765625,20.7,429.0,3.0,61.4
3264.0,20.7,440.0,3.0,61.4
3189.199951171875,20.7,438.0,3.0,61.4
3201.0,20.7,444.0,3.0,61.4
3256.0,20.7,446.0,3.0,61.4
3231.5,20.7,443.0,3.0,61.4
3214.800048828125,20.7,438.0,3.0,61.4
3252.199951171875,20.7,440.0,3.0,61.4
3277.300048828125,20.7,441.0,3.0,61.4
3287.39990234375,20.7,436.0,3.0,61.61
3278.0,20.7,432.0,3.0,61.61
3269.699951171875,20.7,439.0,3.0,61.61
3305.800048828125,20.7,436.0,3.0,61.61
3316.60009765625,20.7,431.0,3.0,61.61
3316.800048828125,20.7,431.0,3.0,61.61
3298.800048828125,20.7,439.0,3.0,61.61
3305.699951171875,20.7,437.0,3.0,61.61
3325.60009765625,20.7,432.0,3.0,61.61
3319.699951171875,20.7,430.0,3.0,61.61
3364.39990234375,20.7,428.0,3.0,61.61
3349.199951171875,20.7,427.0,3.0,61.61
3384.300048828125,20.7,421.0,3.0,61.61
3395.800048828125,20.7,421.0,3.0,61.61
3454.800048828125,20.7,415.0,3.0,61.61
3466.699951171875,20.7,412.0,3.0,61.61
3510.300048828125,20.7,408.0,3.0,61.61
3514.39990234375,20.7,400.0,3.0,61.61
3491.5,20.7,402.0,3.0,61.61
3504.60009765625,20.7,403.0,3.0,61.61
3510.10009765625,20.7,413.0,3.0,61.61
3543.5,20.5,405.0,3.0,61.71
3530.89990234375,20.5,410.0,3.0,61.71
3538.800048828125,20.5,413.0,3.0,61.71
3528.39990234375,20.5,407.0,3.0,61.71
3545.39990234375,20.5,405.0,3.0,61.71
3546.5,20.5,399.0,3.0,61.71
3533.0,20.5,400.0,3.0,61.71
3554.300048828125,20.5,388.0,3.0,61.71
3577.10009765625,20.5,383.0,3.0,61.71
3566.39990234375,20.5,382.0,3.0,61.71
