fecha,ibex_close,tasa_desempleo,prima,pib_trim_per_capita
1994-03-01,3656.800048828125,22.2,242.0,2.7
1994-03-02,3568.10009765625,22.2,306.0,2.7
1994-03-03,3625.5,22.2,308.0,2.7
1994-03-04,3688.60009765625,22.2,238.0,2.7
1994-03-07,3757.39990234375,22.2,253.0,2.7
1994-03-08,3726.699951171875,22.2,237.0,2.7
1994-03-09,3699.300048828125,22.2,259.0,2.7
1994-03-10,3691.199951171875,22.2,257.0,2.7
1994-03-11,3665.199951171875,22.2,256.0,2.7
1994-03-14,3732.39990234375,22.2,256.0,2.7
1994-03-15,3783.300048828125,22.2,263.0,2.7
1994-03-16,3743.60009765625,22.2,251.0,2.7
1994-03-17,3740.0,22.2,248.0,2.7
1994-03-18,3705.10009765625,22.2,256.0,2.7
1994-03-21,3666.60009765625,22.2,247.0,2.7
1994-03-22,3670.0,22.2,249.0,2.7
1994-03-23,3682.199951171875,22.2,237.0,2.7
1994-03-24,3624.89990234375,22.2,243.0,2.7
1994-03-25,3610.10009765625,22.2,267.0,2.7
1994-03-28,3592.800048828125,22.2,259.0,2.7
1994-03-29,3552.199951171875,22.2,258.0,2.7
1994-03-30,3489.10009765625,22.2,269.0,2.7
1994-03-31,3489.10009765625,22.2,269.0,2.7
1994-04-05,3483.39990234375,22.2,275.0,2.7
1994-04-06,3521.10009765625,22.2,257.0,2.7
1994-04-07,3525.300048828125,22.2,265.0,2.7
1994-04-08,3556.39990234375,22.2,258.0,2.7
1994-04-11,3587.39990234375,22.2,256.0,2.7
1994-04-12,3589.5,22.2,246.0,2.7
1994-04-13,3545.5,22.2,249.0,2.7
1994-04-14,3498.60009765625,22.2,262.0,2.7
1994-04-15,3460.199951171875,22.2,255.0,2.7
1994-04-18,3361.699951171875,22.2,257.0,2.7
1994-04-19,3394.39990234375,22.2,270.0,2.7
1994-04-20,3344.89990234375,22.2,265.0,2.7
1994-04-21,3364.39990234375,22.2,272.0,2.7
1994-04-22,3459.699951171875,22.2,261.0,2.7
1994-04-25,3459.699951171875,22.2,259.0,2.7
1994-04-26,3497.89990234375,22.2,261.0,2.7
1994-04-27,3535.0,22.2,270.0,2.7
1994-04-28,3504.300048828125,22.2,266.0,2.7
1994-04-29,3520.699951171875,22.2,264.0,2.7
1994-05-03,3432.0,22.2,271.0,2.7
1994-05-04,3363.60009765625,22.2,304.0,2.7
1994-05-05,3425.800048828125,22.2,309.0,2.7
1994-05-06,3447.10009765625,22.2,297.0,2.7
1994-05-09,3397.5,22.2,296.0,2.7
1994-05-10,3477.0,22.2,310.0,2.7
1994-05-11,3481.699951171875,22.2,300.0,2.7
1994-05-12,3547.5,22.2,300.0,2.7
1994-05-13,3569.89990234375,22.2,294.0,2.7
1994-05-16,3622.60009765625,22.2,300.0,2.7
1994-05-17,3626.199951171875,22.2,299.0,2.7
1994-05-18,3646.0,22.2,292.0,2.7
1994-05-19,3626.300048828125,22.2,292.0,2.7
1994-05-20,3663.89990234375,22.2,283.0,2.7
1994-05-23,3649.60009765625,22.2,283.0,2.7
1994-05-24,3631.5,22.2,279.0,2.7
1994-05-25,3556.60009765625,22.2,282.0,2.7
1994-05-26,3578.10009765625,22.2,280.0,2.7
1994-05-27,3560.89990234375,22.2,275.0,2.7
1994-05-30,3561.89990234375,22.2,284.0,2.7
1994-05-31,3512.60009765625,22.2,289.0,2.7
1994-06-01,3439.699951171875,22.2,290.0,2.7
1994-06-02,3476.300048828125,22.2,290.0,2.7
1994-06-03,3507.39990234375,22.2,313.0,2.7
1994-06-06,3509.39990234375,22.2,294.0,2.7
1994-06-07,3466.0,22.2,302.0,2.7
1994-06-08,3484.199951171875,22.2,304.0,2.7
1994-06-09,3465.89990234375,22.2,301.0,2.7
1994-06-10,3495.699951171875,22.2,302.0,2.7
1994-06-13,3440.0,22.2,304.0,2.7
1994-06-14,3455.300048828125,22.2,320.0,2.7
1994-06-15,3399.60009765625,22.2,323.0,2.7
1994-06-16,3329.800048828125,22.2,332.0,2.7
1994-06-17,3296.199951171875,22.2,335.0,2.7
1994-06-20,3237.89990234375,22.2,320.0,2.7
1994-06-21,3166.5,22.2,346.0,2.7
1994-06-22,3215.300048828125,22.2,379.0,2.7
1994-06-23,3264.10009765625,22.2,354.0,2.7
1994-06-24,3189.0,22.2,351.0,2.7
1994-06-27,3174.300048828125,22.2,364.0,2.7
1994-06-28,3228.89990234375,22.2,336.0,2.7
1994-06-29,3238.800048828125,22.2,338.0,2.7
1994-06-30,3200.699951171875,22.2,343.0,2.7
1994-07-01,3182.39990234375,22.1,344.0,2.7
