fecha,ibex_close,ibex_volume,deuda_perc_pib,gasto_perc_PIB,pib_trim_per_capita,var_pib,var_anual_pib,tasa_desempleo,tie,ipc,prima,eurusd_close,tim
1994-01-03,3654.5,0,,44.83,2.7,0.0,-6.9,22.2,,1.01,248.0,,
1994-01-04,3630.300048828125,0,,44.83,2.7,0.0,-6.9,22.2,,1.01,252.0,,
1994-01-05,3621.199951171875,0,,44.83,2.7,0.0,-6.9,22.2,,1.01,256.0,,
1994-01-07,3636.39990234375,0,,44.83,2.7,0.0,-6.9,22.2,,1.01,258.0,,
1994-01-10,3660.60009765625,0,,44.83,2.7,0.0,-6.9,22.2,,1.01,255.0,,
1994-01-11,3712.39990234375,0,,44.83,2.7,0.0,-6.9,22.2,,1.01,255.0,,
1994-01-12,3680.10009765625,0,,44.83,2.7,0.0,-6.9,22.2,,1.01,256.0,,
1994-01-13,3680.800048828125,0,,44.83,2.7,0.0,-6.9,22.2,,1.01,240.0,,
1994-01-14,3736.39990234375,0,,44.83,2.7,0.0,-6.9,22.2,,1.01,240.0,,
1994-01-17,3729.10009765625,0,,44.83,2.7,0.0,-6.9,22.2,,1.01,237.0,,
1994-01-18,3757.0,0,,44.83,2.7,0.0,-6.9,22.2,,1.01,237.0,,
1994-01-19,3811.300048828125,0,,44.83,2.7,0.0,-6.9,22.2,,1.01,221.0,,
1994-01-20,3794.39990234375,0,,44.83,2.7,0.0,-6.9,22.2,,1.01,216.0,,
1994-01-21,3790.5,0,,44.83,2.7,0.0,-6.9,22.2,,1.01,215.0,,
1994-01-24,3762.60009765625,0,,44.83,2.7,0.0,-6.9,22.2,,1.01,216.0,,
1994-01-25,3811.5,0,,44.83,2.7,0.0,-6.9,22.2,,1.01,210.0,,
1994-01-26,3874.60009765625,0,,44.83,2.7,0.0,-6.9,22.2,,1.01,215.0,,
1994-01-27,3875.89990234375,0,,44.83,2.7,0.0,-6.9,22.2,,1.01,208.0,,
1994-01-28,3915.699951171875,0,,44.83,2.7,0.0,-6.9,22.2,,1.01,211.0,,
1994-01-31,3980.5,0,,44.83,2.7,0.0,-6.9,22.2,,1.01,206.0,,
1994-02-01,3896.89990234375,0,,44.83,2.7,0.0,-6.9,22.3,,0.04,205.0,,
1994-02-02,3947.0,0,,44.83,2.7,0.0,-6.9,22.3,,0.04,209.0,,
1994-02-03,3924.60009765625,0,,44.83,2.7,0.0,-6.9,22.3,,0.04,208.0,,
1994-02-04,3947.39990234375,0,,44.83,2.7,0.0,-6.9,22.3,,0.04,207.0,,
1994-02-07,3868.800048828125,0,,44.83,2.7,0.0,-6.9,22.3,,0.04,210.0,,
1994-02-08,3918.39990234375,0,,44.83,2.7,0.0,-6.9,22.3,,0.04,201.0,,
1994-02-09,3910.5,0,,44.83,2.7,0.0,-6.9,22.3,,0.04,210.0,,
1994-02-10,3888.0,0,,44.83,2.7,0.0,-6.9,22.3,,0.04,209.0,,
1994-02-11,3849.300048828125,0,,44.83,2.7,0.0,-6.9,22.3,,0.04,218.0,,
1994-02-14,3828.5,0,,44.83,2.7,0.0,-6.9,22.3,,0.04,215.0,,
1994-02-15,3828.5,0,,44.83,2.7,0.0,-6.9,22.3,,0.04,221.0,,
1994-02-16,3836.199951171875,0,,44.83,2.7,0.0,-6.9,22.3,,0.04,227.0,,
1994-02-17,3850.5,0,,44.83,2.7,0.0,-6.9,22.3,,0.04,235.0,,
1994-02-18,3808.199951171875,0,,44.83,2.7,0.0,-6.9,22.3,,0.04,223.0,,
1994-02-21,3728.5,0,,44.83,2.7,0.0,-6.9,22.3,,0.04,228.0,,
1994-02-22,3744.300048828125,0,,44.83,2.7,0.0,-6.9,22.3,,0.04,241.0,,
1994-02-23,3777.0,0,,44.83,2.7,0.0,-6.9,22.3,,0.04,230.0,,
1994-02-24,3710.0,0,,44.83,2.7,0.0,-6.9,22.3,,0.04,228.0,,
1994-02-25,3704.199951171875,0,,44.83,2.7,0.0,-6.9,22.3,,0.04,247.0,,
1994-02-28,3739.699951171875,0,,44.83,2.7,0.0,-6.9,22.3,,0.04,252.0,,
1994-03-01,3656.800048828125,0,,44.83,2.7,0.0,-6.9,22.2,,0.33,242.0,,
1994-03-02,3568.10009765625,0,,44.83,2.7,0.0,-6.9,22.2,,0.33,306.0,,
1994-03-03,3625.5,0,,44.83,2.7,0.0,-6.9,22.2,,0.33,308.0,,
1994-03-04,3688.60009765625,0,,44.83,2.7,0.0,-6.9,22.2,,0.33,238.0,,
1994-03-07,3757.39990234375,0,,44.83,2.7,0.0,-6.9,22.2,,0.33,253.0,,
1994-03-08,3726.699951171875,0,,44.83,2.7,0.0,-6.9,22.2,,0.33,237.0,,
1994-03-09,3699.300048828125,0,,44.83,2.7,0.0,-6.9,22.2,,0.33,259.0,,
